W,W,W,L2,W
L3,M,H2,W,W
W,L3,L1,W,W
L4,L5,W,H3,L4
W,W,W,W,W
W,H2,H2,M,M
W,W,W,M,W
L2,W,H1,W,L4
H2,S,W,M,H3
M,L4,W,L4,W
W,H4,H2,L1,M
L4,H1,H1,W,W
M,M,L5,H3,L1
W,W,L4,M,L3
W,W,W,W,W
L3,H3,W,W,W
W,W,W,W,W
W,L5,W,W,L1
H1,H2,W,M,W
W,H4,H2,W,W
L5,W,W,W,W
H1,W,L2,W,W
L2,W,L5,W,L5
L1,M,L2,L4,W
M,W,L3,L5,M
L2,W,W,W,W
M,W,W,W,W
H3,M,L3,W,L1
W,W,L3,W,L4
W,M,W,L4,L3
W,W,L2,M,L1
L1,L3,H3,H1,W
L3,L3,W,H1,W
M,M,H3,H2,L5
W,W,W,M,W
M,W,L1,H4,M
W,W,L1,L4,W
H4,W,W,H3,W
L5,L3,W,W,M
W,L1,H3,W,L2
W,L1,L4,L2,W
W,W,W,H4,W
L1,W,H1,W,M
W,W,W,W,L2
W,H4,W,L4,W
L4,L4,M,H1,W
H1,W,W,W,M
W,M,W,L4,W
W,W,H4,W,L5
W,M,L1,W,W
W,W,M,L4,W
W,W,M,L1,M
W,W,W,W,L3
W,W,H3,W,W
W,H3,L3,M,W
H4,H2,H3,M,H4
H1,W,L2,W,M
W,W,H3,W,W
L3,L5,W,M,W
W,M,W,W,L1
W,L1,W,H2,L2
M,M,W,H3,H3
H1,W,H3,W,W
L5,W,M,W,L5
L5,L4,W,M,L5
W,W,M,H2,W
L4,L3,L1,M,M
W,W,M,L3,W
W,L5,W,W,M
L4,W,M,M,W
M,W,M,M,W
W,M,W,W,H4
L2,W,W,L1,W
W,L2,W,M,W
L1,W,L5,M,H2
L3,M,L5,W,W
W,W,W,W,L2
W,H3,W,W,M
W,L4,L4,L2,W
W,H2,L1,W,W
W,W,W,W,W
W,W,L2,L3,L2
W,H1,W,M,W
W,L5,H4,W,W
W,M,W,M,M
H1,L4,W,W,H1
W,H4,M,W,W
L1,H4,W,L5,W
H1,L5,M,W,W
W,H2,W,W,H1
W,L5,W,H2,L3
W,M,W,W,L4
M,W,W,L1,L3
W,M,W,L4,W
W,W,W,W,W
M,W,L4,W,W
W,W,M,W,W
W,W,W,M,W
H3,H2,L4,W,W
W,M,W,W,M
W,W,L3,H3,W
M,L2,W,H1,W
L5,L5,W,L2,M
W,W,L5,W,W
L2,W,L5,M,H1
L4,W,W,M,M
H2,L4,L5,H2,M
W,M,W,L1,W
M,W,W,L5,W
L2,W,H2,W,W
L5,M,W,M,W
M,M,M,W,M
H3,H2,W,W,L2
W,W,W,L1,W
M,W,W,M,W
M,M,W,M,L3
L1,W,W,W,W
M,W,M,W,L1
W,W,W,W,H3
L3,W,H3,W,L5
W,M,M,W,W
W,W,M,M,M
M,W,M,W,W
W,H2,L5,W,L3
W,L4,W,W,M
H4,W,W,W,W
W,W,M,L5,L3
H2,W,M,H1,W
M,L2,H1,L3,L3
W,W,L3,L3,W
H3,M,L3,W,W
L3,M,W,L1,L1
L4,L5,L4,W,W
W,L5,W,H2,W
L5,W,W,H3,W
W,H3,W,W,W
W,H4,W,W,W
H1,M,W,W,W
H1,W,W,W,H1
W,W,W,W,H4
W,M,W,W,W
W,W,H3,H2,L1
L3,H2,W,W,W
L1,M,M,H2,W
W,W,W,W,W
W,H4,M,M,W
L2,W,L4,L3,M
W,L5,W,W,W
L3,W,W,W,M
M,H1,W,W,L5
L4,W,W,H3,W
W,W,M,W,W
L1,W,W,L4,W
W,M,W,M,W
W,H2,M,M,L5
W,H1,H4,W,L1
W,W,L1,M,M
L3,L5,W,L1,W
L3,W,W,W,M
W,W,H4,H3,M
W,W,L2,H1,L2
H4,W,H3,L3,W
W,W,W,W,W
L2,W,W,W,W
L3,W,H1,W,W
W,H4,W,W,L1
W,L4,W,W,W
W,H4,L4,L2,W
L1,W,L2,W,M
M,M,L3,L3,W
W,L3,W,H4,M
W,W,L4,W,H3
W,W,W,W,W
L2,W,W,W,W
L3,W,L2,L2,W
W,W,W,H1,W
W,W,W,W,H3
L4,L1,W,L1,M
W,W,W,W,L3
M,L2,L5,W,H1
W,M,W,W,W
W,H1,H2,W,H4
W,W,W,W,L1
H3,W,H3,W,M
W,W,W,L1,W
W,W,L4,H1,W
M,W,W,W,W
H2,H3,W,M,W
L5,W,L3,W,M
M,L5,L3,W,W
W,M,W,M,H4
W,H4,W,H2,W
W,L2,W,W,W
W,W,L4,W,W
W,L3,W,W,L4
L5,W,W,W,W
W,W,W,W,W
L3,W,W,W,W
H1,W,W,W,L5
W,W,L3,W,W
W,H4,H4,W,W
L5,L3,M,L5,W
W,L5,H2,W,W
W,W,W,H4,W
L3,L4,L3,M,W
L4,W,L5,W,W
W,W,L2,M,L2
H1,W,W,W,W
H2,W,W,W,L5
W,W,L5,W,M
W,W,W,W,W
W,H4,L3,W,L4
W,M,L1,W,M
M,L5,W,W,H3
L4,W,L4,M,L4
M,W,M,M,W
L2,W,W,L3,L3
M,M,W,W,W
H2,L1,W,W,W
W,W,H1,W,W
H1,H2,L5,H3,M
L1,W,H4,L2,M
W,W,M,H1,W
W,M,W,W,W
W,W,W,W,W
M,W,W,L5,H4
W,W,M,W,M
L4,W,W,M,M
W,H3,M,W,L5
W,W,W,W,W
W,M,L5,W,W
W,L1,H4,W,W
L4,W,W,W,W
W,L5,M,W,W
W,W,W,W,H2
W,W,W,W,W
W,W,W,W,W
W,M,H3,H1,W
W,W,L3,W,W
L2,W,H1,M,W
M,W,W,W,W
W,L2,W,L3,L1
W,L3,W,L5,W
W,H3,L4,W,W
W,W,W,W,H4
H2,L3,L1,H3,W
W,W,H3,L5,H3
W,H3,W,M,W
H4,W,M,W,W
W,W,W,M,W
W,L1,L1,W,M
W,M,H1,W,L2
L4,W,W,W,H3
L4,W,W,L2,H1
W,L2,W,L5,W
W,W,L2,M,M
L4,W,W,W,H3
L4,W,W,L5,W
W,W,L3,H3,M
W,L1,W,W,W
L3,W,M,W,H2
H2,W,W,H3,H4
W,L3,W,W,L4
L4,W,L3,W,W
W,W,M,H2,L3
W,W,H1,H2,L5
W,W,W,M,H2
M,L1,L5,W,S
L5,W,W,W,L2
W,L5,L5,L4,L5
M,L2,L2,W,W
W,W,W,H2,W
H4,L2,W,L5,L5
W,W,H2,M,W
M,W,H3,M,M
H1,W,W,W,W
W,M,W,W,W
L5,L1,L4,H4,W
L5,H4,W,L2,L3
W,M,W,W,L2
W,L5,L5,M,W
L1,M,W,H2,L4
W,H2,W,H3,M
W,W,H4,L5,H4
W,W,H2,W,L1
S,H3,W,H1,L5
H2,M,L5,W,W
W,L3,W,H3,L4
W,M,W,L1,M
L2,W,H3,W,H3
M,H3,W,L2,W
M,W,L2,M,H4
L1,W,W,L3,H3
W,W,W,L4,M
W,L1,L5,W,W
W,W,L2,L3,W
M,H1,W,W,W
W,M,W,M,W
L1,M,W,L1,H4
L4,W,W,H1,L1
W,H2,W,H4,L1
W,W,W,H2,W
W,M,W,M,W
W,H4,H2,W,W
W,W,M,W,H3
M,M,L2,W,W
W,W,W,W,M
M,W,H3,M,W
W,M,W,W,H1
M,L2,W,W,H1
H4,L2,L4,W,W
H1,S,M,W,W
W,W,H1,W,W
W,W,L5,W,W
M,M,W,L3,L3
L5,L3,L5,W,W
M,M,H2,L1,H1
H3,L2,H1,M,M
W,M,H3,W,L1
W,W,W,W,L1
W,L1,W,W,M
W,W,L3,W,H2
H4,W,W,L4,L1
H2,M,W,W,M
L1,W,W,H3,W
M,M,L2,L4,L2
W,L1,M,H4,W
W,H2,W,W,M
W,H4,L4,L2,W
W,M,L3,W,W
W,W,M,W,L3
W,M,H1,H1,W
W,W,H1,W,W
W,W,H2,M,W
W,L3,W,W,W
W,W,W,H4,M
W,W,W,W,W
L2,L5,W,L4,L2
W,W,W,W,W
M,L1,W,H4,W
L5,L4,L5,L5,M
W,W,W,W,H1
W,W,L2,M,H2
W,W,L2,M,L2
W,W,H2,W,W
W,W,W,H4,H1
W,H4,W,W,W
M,W,W,L3,W
W,W,W,H1,M
W,W,W,L4,W
M,L3,L1,L5,W
W,H4,L1,H1,L2
M,H3,H3,W,H3
W,W,W,W,L5
L1,W,W,W,W
H3,W,H1,W,W
M,W,M,W,L1
L1,W,W,L5,W
M,H1,L4,W,W
L2,W,W,W,W
H2,W,M,W,L3
W,W,M,W,W
L3,W,L4,H4,L2
W,W,L1,L5,L3
H1,W,W,W,L5
L2,W,W,W,W
W,W,L4,W,W
M,L1,H3,W,L2
L3,W,M,W,W
H4,W,W,H1,L2
W,W,M,L4,W
L5,L5,W,M,L3
L3,H3,W,W,W
W,W,W,H1,W
W,W,M,L1,M
H2,W,W,W,L2
W,W,S,H3,H4
M,M,W,W,L2
M,W,H2,L4,L3
H4,W,W,W,H2
W,L1,W,L4,L5
H3,W,W,W,W
W,M,W,W,W
W,M,L5,L3,M
M,L4,L1,W,W
W,H3,L1,H2,L4
W,W,H2,H2,L2
W,L1,W,H4,W
L2,W,W,H1,L4
W,W,W,H2,H2
H3,L5,L5,W,W
W,W,L4,W,W
W,L2,H3,M,M
W,W,M,L3,W
M,W,W,M,L5
W,L5,W,W,W
W,L5,W,L2,L2
W,W,W,W,L1
W,W,H4,L3,W
W,M,W,H3,M
L2,W,W,W,L2
H4,M,W,H4,H3
W,W,M,W,M
W,L3,L1,H2,W
H4,W,W,W,W
W,M,W,W,L3
L1,H1,W,M,W
W,W,W,W,L3
M,H3,W,W,W
W,L1,W,W,W
W,L5,H1,W,M
L5,H4,H1,W,W
W,W,W,H4,W
W,W,W,L2,L1
L2,M,W,M,H4
W,W,M,H4,L4
L1,W,L2,W,L3
L1,W,W,W,W
W,L3,W,W,W
M,L4,W,W,W
W,M,L2,L4,H4
W,L3,W,W,L2
L5,W,W,H4,L4
M,L4,W,W,W
W,L3,M,L2,L5
W,W,H4,W,M
W,M,L5,W,M
L4,S,L3,H3,W
W,W,W,W,W
W,S,L3,M,W
W,L5,L1,L3,W
W,L3,W,M,M
W,W,L5,H1,H1
W,W,L2,W,W
W,W,H4,H3,W
W,M,M,L3,W
W,H2,W,L5,L1
W,H3,M,H1,H1
H1,W,H4,W,W
M,L2,W,W,W
L3,W,L1,W,W
M,M,W,W,W
S,W,L1,W,M
W,M,W,H4,W
W,W,W,W,H2
L2,W,W,L3,W
H3,W,W,W,W
W,L2,H2,M,L3
W,W,W,W,M
H3,M,W,W,W
M,W,W,H3,W
W,M,H2,H3,W
W,W,L1,W,L5
W,W,M,H2,H1
W,W,L4,L4,M
L4,S,W,H2,W
L2,L2,W,W,W
L1,L4,W,W,W
W,W,W,W,W
H4,W,H2,W,H4
M,W,M,M,W
W,L3,W,L4,W
W,W,M,W,H3
W,H4,W,W,L1
M,W,H1,W,H3
W,W,W,W,W
W,L5,W,L1,W
M,M,M,L1,W
W,L1,M,W,W
H1,H3,W,W,L5
W,W,W,H3,H3
L4,M,W,H4,W
L4,W,W,W,W
W,W,L1,W,L1
W,M,W,W,M
M,H4,M,M,W
W,W,L5,W,W
W,W,M,H4,L2
W,H3,H4,W,M
W,M,W,M,W
W,M,W,W,H4
W,W,H1,W,W
L1,W,W,W,W
W,L1,W,W,W
H1,L5,W,W,L5
H2,L2,H4,W,L3
W,H2,H2,W,H1
W,W,H4,W,M
H3,L4,M,L5,W
H2,L2,L4,H2,S
W,L2,M,L4,L2
W,W,W,H1,W
W,M,L1,L1,W
H3,W,W,W,L3
M,W,W,L5,H1
W,L4,W,W,H1
W,L5,W,M,H4
L4,M,L2,W,W
L2,H3,L2,W,W
W,W,M,W,L1
M,M,W,L3,M
W,W,W,W,L2
M,M,W,W,L2
L4,W,W,L3,M
W,L2,M,M,W
L5,W,H2,W,W
W,W,L5,L1,W
W,H1,W,W,W
W,L2,W,W,L4
W,W,M,W,W
W,L5,W,W,M
W,M,W,W,H1
M,W,H4,W,W
W,W,L2,W,L2
W,W,L3,W,W
M,L5,W,W,L5
W,W,M,W,W
M,L3,W,H2,M
H2,W,L4,H2,M
L4,W,W,W,W
W,W,W,L5,M
L2,H4,M,M,W
M,M,W,L2,H1
L1,W,W,W,W
M,W,L2,L1,W
W,L4,W,W,L5
W,W,L5,L5,L4
H2,W,M,W,W
W,L2,H4,W,W
W,L2,W,W,W
W,W,W,W,H4
H4,M,L4,M,L2
W,W,W,W,M
M,W,W,W,H3
M,M,W,L2,W
H2,W,M,W,W
H4,W,W,W,W
W,H3,W,W,L2
M,L5,H4,W,L4
W,W,W,W,W
M,H1,W,W,W
W,L5,W,W,H2
W,W,W,W,W
M,W,W,W,W
W,H1,L4,L2,M
W,W,L3,H3,W
W,W,W,W,M
L5,L3,H3,L3,M
W,H2,L4,L4,W
W,L3,L3,W,M
W,L1,H2,W,H4
H4,W,M,L5,H2
W,W,M,L2,W
W,W,W,W,W
W,W,W,W,L3
W,H3,W,W,W
W,W,W,W,M
M,W,W,M,M
L3,W,M,W,W
W,H1,M,W,W
W,W,L4,W,H3
W,H2,W,M,W
L5,H3,W,W,L1
H1,W,W,L4,W
M,W,W,H1,L3
L2,W,W,W,W
M,W,W,M,L2
M,W,L5,W,M
W,W,L1,W,M
L5,H3,L5,W,L2
H3,W,H4,W,W
W,W,W,W,W
M,W,W,W,M
M,W,W,H2,H4
H4,W,M,L1,W
W,W,W,W,H1
W,W,H1,W,W
W,L4,L5,H2,M
W,W,W,W,L4
W,M,W,L5,H1
W,M,H1,W,W
W,W,W,W,M
W,H4,W,W,L2
M,M,L3,W,W
W,H4,W,W,L4
L2,H3,L2,W,W
M,W,W,W,H4
W,W,M,W,W
W,L2,W,W,W
W,W,W,W,W
W,W,W,W,W
H4,H1,L2,L3,W
H3,M,W,H4,M
M,W,L2,W,M
W,M,M,L4,W
W,W,M,M,W
L5,M,W,W,W
W,W,M,W,L5
W,W,W,W,H2
W,L4,H1,L4,W
W,W,W,W,M
M,W,L4,W,W
M,M,W,W,W
H3,L4,L4,L4,M
L4,L3,W,M,W
W,H4,W,W,W
H2,M,W,L4,W
W,W,W,W,W
L4,L1,M,W,L1
W,W,L2,H1,H4
W,W,H2,L5,L5
W,W,W,W,W
W,W,W,W,W
L4,W,L4,W,W
H2,W,H2,M,W
W,M,W,L4,L4
L2,W,W,W,M
W,W,M,W,H1
L1,L4,W,W,W
W,W,W,W,S
W,L1,W,L2,W
W,M,W,L3,L5
M,W,L4,W,W
W,W,W,W,W
M,W,W,W,L2
M,W,W,L4,W
W,M,W,W,L1
M,L4,L2,W,W
W,W,W,H4,W
W,H1,H2,M,W
W,M,M,L3,W
M,W,W,M,W
M,L4,H3,M,L1
H3,W,M,W,W
H3,H4,H4,W,M
W,L2,L1,M,H1
W,W,W,W,W
M,W,W,M,L1
W,W,W,L2,L5
H4,M,W,H3,L1
W,W,W,H3,W
W,W,L4,W,W
H3,M,L1,W,W
W,L3,L2,W,W
W,H3,L4,W,L4
L1,W,L1,W,W
W,M,W,L3,W
W,M,W,W,W
W,M,H4,L2,W
W,H4,W,L2,M
W,M,W,W,W
M,H2,W,M,W
W,H4,L1,L2,L2
M,L3,M,W,M
W,W,W,W,W
H2,L4,W,L2,H1
L2,H1,W,W,M
W,W,W,W,L3
H1,W,L4,M,W
H4,W,W,W,W
L5,M,W,W,W
W,L1,W,W,L1
W,W,W,W,W
W,W,H2,M,W
L2,W,W,L5,W
W,W,W,W,W
W,W,W,W,W
L1,W,W,H1,W
L5,W,W,W,W
W,L2,W,W,H2
L4,M,H4,L1,L5
W,W,W,M,M
W,M,W,H2,W
W,H2,W,W,W
H4,W,W,L3,M
W,W,H3,L3,W
W,L1,W,W,W
L4,M,W,L5,L1
L1,W,M,W,H1
W,W,W,M,W
L2,W,W,L3,W
H3,M,W,L4,L5
M,L5,W,W,W
M,W,M,W,L2
W,W,W,W,L2
W,W,L5,L2,M
W,W,H2,W,W
H4,L1,H3,W,H3
W,M,L5,L2,W
L2,M,W,W,W
W,L1,L3,W,W
W,H3,H4,M,L5
M,L5,W,L5,L1
W,L2,W,H2,W
W,H2,W,L5,L5
L1,W,S,M,L5
W,W,W,W,W
M,H3,L2,L5,L4
W,W,L5,H1,W
W,W,H2,M,W
L3,W,W,W,W
W,L1,W,H3,W
L3,W,L1,W,L3
M,W,W,W,W
W,L1,H3,H4,M
L1,W,W,H4,H2
W,L3,L5,H1,L1
W,W,W,W,W
W,W,H2,W,L4
M,W,W,W,S
W,H1,L5,W,M
W,L3,W,W,W
L1,W,W,W,W
L5,W,L2,L2,W
L4,W,W,W,H3
H4,W,W,L5,W
H2,W,M,W,H1
M,M,W,W,L2
H4,W,L2,M,L1
W,L4,W,L1,W
W,W,M,H1,W
W,M,W,H4,W
L5,W,W,W,L2
W,W,W,H2,M
H3,W,W,L1,M
W,W,H1,L2,M
L1,M,L1,W,L2
W,W,L5,L5,W
W,W,W,L2,H2
W,W,L4,W,M
W,W,W,W,L2
W,W,W,W,W
W,L4,W,W,W
W,W,W,H4,W
W,W,W,H3,H2
L3,W,W,L4,L4
M,W,L1,M,W
W,W,W,L3,H2
W,L5,L5,W,W
W,H4,W,W,M
L1,W,W,W,H3
W,W,W,L1,H4
W,M,H4,W,W
W,M,L2,L4,H4
W,W,W,W,H4
W,W,H4,W,M
L1,W,L4,L5,W
W,W,L3,L5,W
H4,H2,L2,W,W
W,W,M,L2,L4
W,W,W,L5,L4
W,M,W,H2,L5
W,W,W,W,H1
H3,L3,W,M,W
H3,L5,S,W,W
L4,W,M,W,H3
L2,W,L4,L3,W
M,L5,M,M,M
L5,L1,H2,L1,W
W,L3,W,M,H1
W,W,L1,L4,H3
W,W,W,W,W
M,W,M,W,L4
M,L3,H3,W,W
W,W,W,M,W
M,M,W,W,H4
W,L2,W,W,L3
L5,W,W,W,W
M,W,W,L2,W
W,L4,L5,M,H3
W,W,W,H1,L5
W,W,H4,W,H2
L1,L2,M,W,W
W,H4,L1,L5,M
W,W,L3,W,L1
H1,W,L3,H1,W
L1,H2,W,M,W
M,M,W,L1,M
W,W,W,W,W
W,M,L4,M,W
H3,H3,L3,H3,W
W,W,W,H1,W
L4,L4,W,M,W
W,L3,W,W,W
L1,W,L1,W,W
W,H1,W,L2,H4
W,W,M,W,H1
W,W,M,M,W
M,H1,L1,L2,W
W,H4,L1,L5,L3
H2,W,W,W,W
L2,W,L1,H1,W
S,W,L2,H4,L2
W,W,W,W,W
H4,H2,W,H4,W
L3,L3,W,H2,H4
W,W,W,W,L3
L2,M,M,M,H3
W,L2,M,W,L3
L5,H1,W,W,H4
L4,W,H3,W,L3
L3,M,L1,M,W
M,L2,L2,W,L3
L5,L2,W,W,W
W,W,L5,H4,M
L5,W,W,L2,W
M,W,W,S,W
W,W,W,L4,H4
M,W,W,W,W
W,H4,L1,M,H2
W,W,M,W,W
W,W,W,L5,H4
H4,W,W,W,L2
M,H3,L1,M,W
M,L5,L3,M,W
W,L3,L5,M,W
L3,L5,W,W,H2
W,W,W,H1,W
H1,W,M,L3,L5
W,L1,L4,M,W
L5,W,W,W,H4
W,W,W,L3,W
W,W,H3,M,W
W,M,M,W,W
H3,W,L4,L5,W
W,W,M,W,L5
W,W,M,W,H3
W,W,W,M,M
W,M,W,W,H2
M,W,W,M,L4
W,W,W,W,W
W,L1,H1,W,H4
W,W,W,W,H3
W,L1,L4,W,W
W,W,W,W,M
M,L1,H1,W,H3
W,W,L4,L4,W
W,L5,W,L5,W
W,M,M,H4,W
M,W,M,W,W
L4,W,W,W,M
M,W,W,W,W
W,M,L1,L1,W
W,L3,H1,W,M
W,W,W,M,W
L3,W,L4,W,W
M,M,W,L2,L4
W,W,L5,W,M
L2,L1,M,L2,W
W,W,L5,M,W
W,W,W,W,W
W,H1,W,H4,L4
H4,H2,W,M,W
W,W,W,W,W
W,L5,W,L3,W
W,M,W,H1,W
W,W,W,L3,W
W,W,W,L3,W
W,W,L5,H2,W
L3,M,W,W,W
H3,H3,W,W,W
W,W,L3,M,L3
W,W,L1,L2,W
L5,W,W,L1,W
W,W,H4,L4,W
H3,W,L5,W,W
L1,L5,M,S,W
W,W,W,L3,L4
W,W,H1,H4,L3
M,W,L5,L4,W
L1,M,H3,W,L4
L2,W,L4,W,W
W,L4,H4,M,H2
W,L5,M,W,L1
W,W,W,M,L2
W,M,W,L2,L2
W,M,H3,H1,W
W,L1,W,W,L2
H4,W,W,M,W
M,W,W,W,W
W,L5,W,W,M
W,M,W,L2,H3
H2,W,W,W,W
W,L2,L3,W,W
W,W,W,H2,W
H2,W,H1,H1,W
W,H1,W,H3,L3
L3,L5,W,H4,W
W,L2,W,W,W
M,W,W,L2,L4
W,W,M,W,H2
W,W,H1,H4,W
W,W,W,M,W
S,W,M,M,H4
W,H4,L2,H4,W
H3,L2,M,W,M
W,H3,H1,H3,W
W,M,W,W,M
W,W,L4,W,W
L3,L2,L1,H2,W
