N,Q,K
H2,H3,T
A,W,A
K,S,M3
K,J,N
K,M2,K
H3,A,H3
Q,M1,J
J,Q,T
T,T,H2
J,K,M3
Q,T,J
Q,K,N
Q,T,K
J,K,J
M1,S,H3
J,Q,M3
J,K,S
H2,J,A
M1,T,N
A,M2,H3
M3,A,H2
W,N,N
M1,K,M3
T,J,M3
K,S,W
N,H1,M2
K,T,Q
T,T,K
K,H1,Q
H1,M2,A
A,M2,T
M3,M3,T
A,Q,A
M3,M3,N
H1,J,A
S,N,J
A,A,W
M2,M3,T
N,H1,M2
M1,A,T
M2,Q,M1
M2,H3,Q
N,T,S
K,M2,A
N,N,H2
M2,Q,M1
W,A,M1
N,T,T
T,K,K
H3,K,Q
N,H2,K
J,T,A
J,Q,N
A,J,M1
Q,S,H3
J,H2,A
H3,H1,J
N,H2,A
K,J,M1
M3,J,K
T,N,J
H2,K,M1
S,H1,H1
N,N,H1
M1,J,J
H1,N,T
T,M2,T
A,A,K
K,H1,Q
A,H1,M1
K,K,M3
K,A,N
M2,S,Q
T,M2,H1
Q,M3,M1
H1,N,J
H1,M3,H2
M2,H3,K
T,H3,Q
K,J,K
M3,T,K
M1,K,M1
S,J,A
H1,H1,M1
Q,H2,Q
J,M3,H1
N,K,Q
M1,Q,H1
A,A,M1
H1,T,N
N,J,Q
M1,Q,J
M3,N,M3
K,N,W
H2,M3,H1
N,S,M2
A,Q,H3
J,Q,K
J,A,Q
N,M3,T
M1,H1,J
A,T,H2
W,M2,H2
T,M2,M1
M3,J,M2
M3,K,H1
H3,A,M3
M2,T,M2
H1,M1,A
Q,W,A
S,N,N
H2,H1,J
K,M1,A
M1,H2,T
H1,M2,S
H2,Q,H1
H3,M3,J
M3,A,M2
T,N,M2
K,H3,T
Q,M2,Q
Q,J,H1
S,M1,A
M2,M1,T
T,S,M1
N,N,N
M2,Q,J
T,M3,Q
H2,H2,N
M3,T,M2
N,A,K
M1,J,H3
T,J,Q
Q,N,H3
J,J,N
H3,M1,N
A,Q,J
T,M1,T
S,W,N
M2,H2,N
Q,T,J
A,H3,N
H1,H2,J
H3,J,N
H1,A,M2
Q,M1,K
J,H2,H1
K,Q,M2
M3,A,K
N,N,M3
H2,H2,H2
K,H1,A
M1,K,H1
A,K,H2
N,A,M3
A,M1,M1
S,M1,H3
T,Q,Q
H3,T,K
J,M3,M2
H2,A,T
T,M1,T
T,K,M1
Q,N,Q
M3,J,Q
Q,T,T
J,M1,M1
H1,M3,J
A,T,Q
A,M1,S
N,M1,H2
M3,M1,T
T,H3,N
H2,J,M3
M1,N,M2
N,K,K
J,M3,N
M2,S,J
Q,Q,A
T,N,K
N,M2,T
M1,K,M3
K,M2,M2
Q,K,J
M1,T,J
M2,H1,T
M2,H3,M2
Q,A,Q
J,N,H1
T,J,N
Q,Q,H3
J,K,A
M2,H3,H2
M1,M1,K
H3,N,M3
K,M2,J
J,T,T
J,Q,N
S,N,S
