M2,K,J
J,H2,A
K,H1,H2
M1,A,N
J,J,A
T,S,K
M1,T,H1
T,H2,A
N,N,N
M2,A,N
K,K,A
W,M1,Q
M1,J,W
S,Q,T
T,N,S
N,Q,M2
T,K,A
T,H1,T
K,M1,K
M1,N,N
N,M2,H3
K,S,T
H1,T,J
H1,H3,J
J,M3,S
M3,N,J
A,T,Q
M2,H1,T
Q,M1,H2
S,H2,Q
H3,M3,K
A,Q,M1
H2,N,A
A,N,M3
H1,K,M3
M3,Q,T
J,H2,W
N,S,J
N,T,M2
K,K,H1
Q,A,T
M3,M1,A
Q,K,Q
S,A,M1
N,K,T
H3,K,K
M1,A,N
A,J,A
A,J,H3
M2,N,Q
J,S,K
H3,Q,K
K,M2,M1
N,N,H3
S,Q,M1
H1,T,N
K,Q,N
Q,T,A
K,J,M3
Q,Q,T
K,J,S
H2,A,N
M3,M3,H2
J,M1,Q
Q,N,A
H3,M2,J
S,J,A
W,H2,K
T,J,M1
A,M3,J
A,M1,J
T,H1,K
K,M1,T
M3,H3,M1
M3,A,M1
K,T,M2
M1,M2,M2
H1,S,M3
A,J,N
Q,Q,K
S,Q,H2
K,H1,M3
J,N,N
M1,M2,T
A,A,H1
T,J,T
K,K,A
T,M1,H3
M1,M1,K
Q,Q,N
M3,J,N
T,T,J
J,H1,S
T,M1,K
N,W,H1
S,Q,Q
A,T,N
Q,K,A
T,H3,N
N,A,H2
H2,H1,H3
M3,M2,T
T,Q,H2
K,M3,K
M2,Q,M3
M3,J,K
A,J,T
N,T,M3
S,K,H3
H3,S,H1
M1,M1,H3
T,M3,M1
A,A,K
W,T,S
T,M1,T
N,K,M3
J,M2,T
N,N,M2
N,N,M2
A,K,H2
S,Q,Q
Q,Q,Q
Q,W,T
H3,S,S
H2,H2,M2
J,T,J
T,J,M3
M1,M3,M1
Q,A,J
M1,H3,N
K,T,H1
T,T,A
A,N,J
S,N,M3
J,M2,N
M2,M1,M1
T,M2,N
M3,T,T
M3,M1,H1
K,T,Q
Q,Q,J
K,M3,M3
A,S,W
H2,A,N
K,K,N
S,H2,J
Q,H2,M3
M3,J,K
M2,H2,H1
N,M1,Q
K,H3,K
H3,M2,M2
J,K,A
M1,T,J
H3,S,Q
H1,A,M2
A,K,S
N,M3,H1
M2,A,M1
H2,M2,H2
N,N,M1
M1,A,N
N,N,A
K,Q,M1
N,N,A
N,Q,J
M2,S,M3
M2,T,W
S,T,S
K,J,K
H3,A,K
M1,H2,H3
M3,A,H1
Q,M3,M3
H2,W,J
K,M3,M3
J,S,M2
A,M2,M1
S,M3,N
M2,H3,N
K,K,H1
H3,K,K
M1,H1,Q
J,M3,J
N,H1,H2
J,H3,S
M3,T,K
H3,S,Q
H1,M3,T
M3,H1,A
W,M2,Q
H2,N,H3
N,T,M1
H1,H1,J
Q,A,H3
T,A,N
S,M1,T
H2,Q,M3
T,H3,M1
H1,Q,N
M2,M3,Q
J,S,J
M2,A,Q
H1,M1,N
H2,M3,Q
J,J,T
W,H3,J
Q,N,N
K,M1,K
T,Q,M2
N,N,M1
M1,K,J
H2,N,H1
M1,S,J
T,K,N
M1,H2,Q
A,T,K
Q,H1,Q
H1,W,A
J,T,H1
K,M2,A
A,M3,Q
Q,M1,J
J,H3,M2
Q,M2,Q
H1,J,S
T,H1,K
S,S,K
K,N,T
M3,A,Q
M1,T,J
Q,M3,T
M2,J,J
M2,T,A
M1,N,W
M3,J,J
M1,M1,H1
K,H2,T
Q,M2,A
H3,H2,H3
T,H1,M3
A,N,M3
H2,J,M2
H1,M2,T
M2,H1,N
J,H1,S
T,Q,N
M1,N,H3
J,A,Q
S,J,N
K,M3,K
Q,A,N
K,H3,Q
H3,J,A
Q,Q,A
A,T,M2
T,K,M2
Q,M1,K
J,M2,J
T,Q,T
J,A,S
H2,J,H2
H3,S,H2
A,M2,M1
W,Q,J
S,M1,T
K,A,M2
A,H1,J
M3,M1,J
H1,T,M3
H1,T,T
N,Q,S
J,A,H3
H1,N,M3
A,S,Q
K,K,M1
K,J,H3
M2,M1,M1
J,K,M1
K,H3,H3
M2,H3,Q
T,M3,K
S,Q,T
J,M3,K
T,H2,M2
M2,H1,M3
Q,J,M2
N,S,H3
M2,M1,T
M2,N,H2
N,M1,T
A,H1,K
M2,H3,N
H2,M1,M1
A,N,K
T,Q,S
A,A,M2
S,H2,M1
M3,K,M1
N,S,A
A,K,H2
M2,J,K
H2,K,M2
Q,T,J
H3,K,Q
H3,N,K
H1,T,N
K,H2,J
S,N,S
Q,S,H2
H1,Q,A
Q,H1,H1
A,M1,M2
M3,M1,M1
J,W,H2
T,J,H1
T,J,W
M3,M3,M1
Q,M3,K
Q,A,N
M1,N,H2
Q,M3,M3
H2,T,T
M3,J,H2
H1,T,Q
