T,K,J
W,M2,K
K,W,T
A,A,Q
N,M3,A
J,S,H1
H3,M1,A
T,K,M2
T,H2,A
A,H1,Q
K,M1,M1
H3,M1,K
S,J,J
J,H3,A
T,N,A
M1,K,J
M2,M1,A
M3,Q,A
A,W,M2
M1,A,T
H3,H1,A
H3,S,M3
H1,K,M3
K,W,M3
H1,M2,Q
K,W,H1
H1,M1,T
M1,Q,W
N,Q,A
M3,J,H2
Q,M1,A
H2,Q,H2
H1,Q,W
J,H1,Q
Q,K,N
M2,W,T
H2,A,H3
M3,H1,H2
A,M1,J
H2,H1,M2
Q,M2,H2
M3,K,K
M3,K,M1
M2,A,W
Q,H1,M1
K,M2,A
A,S,Q
N,Q,A
J,J,J
M1,T,M1
K,A,W
M3,K,H3
Q,K,W
H2,Q,H1
M1,M1,Q
M1,N,M1
Q,H2,W
W,A,M1
M1,J,M2
M2,M2,A
S,M3,K
M2,H1,K
M1,T,Q
M3,Q,H1
J,T,K
N,M1,Q
J,S,M2
K,M1,M1
Q,N,M2
M1,T,J
Q,A,H2
S,M2,M1
N,M1,M1
W,W,A
K,M1,T
T,H1,M2
M2,M1,J
H1,K,J
Q,A,K
M1,W,Q
N,Q,A
Q,M1,J
A,Q,H1
M3,M1,M3
M2,N,M1
A,K,M3
S,Q,H3
K,Q,A
K,M1,M3
Q,M3,Q
M1,M3,A
M2,A,A
M2,K,M1
H1,Q,M2
Q,A,N
A,M2,M3
M1,K,M1
M2,M3,S
T,H3,H1
Q,M1,M3
H2,T,N
A,M2,Q
S,K,M2
W,Q,K
K,T,N
J,M1,J
Q,M2,T
A,M3,M2
K,K,N
H1,M1,M2
M1,M2,M1
M1,A,K
Q,S,S
Q,N,J
K,Q,Q
J,M2,Q
M3,A,N
M3,K,Q
M1,J,K
M2,Q,Q
K,M1,T
J,A,M2
K,Q,A
A,H3,H1
W,M3,N
M1,K,J
M1,J,T
M1,Q,K
M3,K,K
S,Q,M1
M1,M1,M3
M2,H3,W
T,A,Q
T,T,S
M3,J,K
K,M3,K
M1,H1,N
T,H2,M1
M2,T,M3
M3,S,H3
A,T,A
A,J,M2
M1,M2,Q
Q,A,A
W,M3,K
M2,M3,Q
M2,J,K
A,K,K
A,W,T
Q,A,M2
K,M1,H1
A,M3,Q
W,T,J
S,M2,N
A,Q,T
J,A,M2
M2,A,M1
M2,K,T
A,N,Q
A,Q,S
A,H3,M1
M3,K,M3
T,N,T
A,M1,W
M3,T,Q
M2,T,N
T,K,K
J,M2,H3
J,M3,M3
H1,J,M3
M1,M2,M1
M3,A,M1
Q,A,A
K,S,S
J,J,M1
K,H2,J
K,M2,A
A,A,A
S,H2,K
J,M3,K
K,T,M3
T,M3,K
W,K,M2
Q,N,T
N,M3,M1
Q,Q,M1
K,N,J
Q,J,Q
Q,M2,T
A,S,Q
A,A,M1
H3,M3,H1
T,A,M3
H2,Q,K
N,A,M2
N,M2,H2
M1,J,M2
T,J,M3
K,H2,T
H1,T,K
