T,S,J
M1,H3,A
T,A,M3
K,A,J
M2,H3,H2
Q,A,K
M1,J,S
N,H1,K
M3,H3,M3
T,H3,M3
M3,Q,J
M2,J,M2
M3,J,H3
Q,H3,K
S,J,T
A,H3,M1
H3,M2,N
H3,S,K
W,H1,M1
J,M3,J
M3,K,T
H2,H2,S
H3,N,M1
M3,A,A
T,M3,T
H3,T,H3
K,A,N
Q,K,H2
T,S,K
N,M1,T
H3,Q,H3
H2,M1,K
Q,M3,T
Q,A,T
J,H2,H2
J,H2,J
S,N,M1
A,K,N
J,T,S
K,M1,H1
A,T,M1
A,S,M3
M2,M2,M3
W,T,H2
N,H3,Q
T,N,Q
S,M1,W
J,M3,M2
T,N,T
M2,Q,S
H1,W,T
N,N,M3
M2,Q,N
K,H3,A
H3,S,Q
H2,Q,Q
N,Q,J
N,M2,M3
M2,M2,M2
Q,N,M2
Q,N,H1
H1,T,M2
S,H2,M1
T,K,Q
N,A,W
M2,H1,K
H1,H2,M1
J,S,T
W,M3,H3
H2,J,M2
K,H2,M3
A,J,J
H3,H1,H2
K,A,T
N,J,Q
S,H1,Q
M3,Q,K
A,Q,Q
W,M1,H1
M3,Q,A
A,Q,S
K,H1,J
J,M1,N
J,S,T
K,N,A
H1,M1,Q
Q,A,H1
T,Q,H1
M1,J,Q
S,T,N
T,J,J
K,A,M2
H1,Q,M3
M2,K,K
T,M3,K
T,S,A
A,K,S
A,W,M2
K,K,Q
M3,K,K
Q,J,H1
M2,M2,T
Q,M1,N
S,M3,H2
A,T,A
H2,M2,K
K,J,A
H3,H1,A
K,Q,S
T,N,Q
Q,M2,M1
J,H2,M2
M1,M3,N
J,M2,H1
K,J,M1
K,K,Q
Q,S,T
H1,A,K
H3,T,H3
M1,M2,S
H1,M2,M2
S,A,M1
Q,N,J
N,Q,Q
N,W,J
J,K,T
M2,M1,Q
K,H1,H2
M1,H2,Q
W,H1,W
N,J,A
M1,A,N
J,T,M3
H2,H1,T
H1,M1,S
H2,M3,N
K,N,J
A,W,H1
H1,M3,T
Q,S,N
Q,H2,Q
J,M2,K
M2,Q,N
S,A,T
N,T,S
N,J,M3
J,H1,M3
T,K,A
M2,N,W
M1,H1,M2
Q,T,M1
H1,K,N
Q,T,Q
M1,M1,J
J,W,N
M3,N,H1
S,Q,K
K,M1,M1
W,T,H3
M3,S,S
A,M1,M1
M3,Q,K
M3,T,N
T,A,A
N,N,M2
T,T,J
H2,K,W
M3,T,H3
M1,Q,H2
S,S,M2
T,Q,M2
N,M1,W
J,K,T
A,K,K
K,N,J
Q,J,H2
H1,M1,N
Q,M2,H1
H2,T,S
A,A,M1
K,S,H1
A,K,A
M1,H2,H2
T,K,N
M1,J,K
N,H3,H3
A,J,M3
S,M2,J
J,N,H1
M2,M3,J
N,T,N
M1,M2,S
M1,M3,A
H1,M3,K
M2,N,H3
J,N,J
M1,W,A
H2,J,M1
N,K,A
S,K,Q
