H3,H2,A
M1,H3,M3
H3,M1,H1
M1,A,K
K,W,W
Q,M3,Q
A,M1,Q
K,M1,Q
M2,M2,M1
M3,Q,K
A,S,Q
A,M2,M1
H2,M3,Q
M1,W,M3
H1,A,A
H1,H2,H1
M3,M1,K
H1,M3,M3
H1,H1,M1
M1,Q,Q
M1,Q,K
H1,M3,H1
A,W,M1
M2,M1,M1
K,W,A
H3,H1,M2
Q,Q,W
H1,W,M1
A,Q,M3
H1,Q,S
K,A,Q
H1,K,M2
Q,A,H2
M2,H1,K
M1,M3,M2
A,M1,K
Q,K,K
M1,H2,M3
M2,A,Q
M3,H1,K
A,K,K
K,H3,A
M2,K,H3
M2,H2,M1
Q,W,M2
K,M1,M1
W,A,M2
A,Q,M1
H2,H2,M1
M1,M1,A
M3,S,M1
S,A,Q
Q,Q,Q
A,H2,W
M2,K,M1
M3,K,H2
K,M3,Q
W,M1,W
Q,H1,A
M1,M1,K
A,M1,M2
M2,M1,K
M2,Q,Q
A,A,K
H2,M2,A
W,S,K
M1,A,A
M3,W,Q
M3,M1,M2
M3,Q,K
M1,M3,M2
Q,H1,S
H1,K,A
Q,K,W
Q,Q,H1
M1,Q,A
K,H1,Q
M1,K,M2
Q,K,H2
H2,M2,M2
M2,Q,M2
Q,K,K
M3,Q,A
K,Q,M2
A,M2,Q
M1,K,H3
H1,M2,K
S,H1,Q
A,M3,M2
H3,M2,K
H2,M2,M3
M1,K,H3
A,Q,K
K,Q,H3
Q,S,S
W,M3,A
H1,Q,M1
A,M3,A
H1,K,M1
M2,K,A
M1,A,H1
H1,H1,M3
A,M1,A
W,M3,Q
M2,A,Q
M1,A,A
S,K,S
M2,A,H2
M1,M2,W
M3,S,K
A,H3,A
M3,H2,H3
K,Q,Q
Q,A,M1
M1,H3,A
Q,K,M3
W,K,H1
K,A,K
H1,K,M2
K,M1,A
Q,H2,M2
S,Q,K
M1,K,A
M2,M2,H1
K,M1,H1
M2,M1,M1
H3,A,M3
K,A,A
A,K,M2
M2,M2,M1
K,M1,A
Q,Q,M1
H2,M2,M1
M2,M3,K
K,K,H1
Q,M1,H1
A,H2,M2
M3,K,Q
M2,K,M3
S,H3,M3
H2,A,M3
W,K,M1
M2,M3,M1
H3,M1,H1
K,H1,W
A,M1,M3
M3,M2,M3
K,Q,M1
M2,A,M2
A,H3,Q
W,K,A
Q,M2,K
K,M2,H2
M3,Q,S
H3,H2,K
S,S,H1
Q,H1,H2
K,H3,Q
K,Q,W
H3,A,Q
H1,Q,M1
Q,W,W
H2,M1,Q
M3,H2,M2
A,H1,H1
Q,Q,A
K,S,M3
Q,A,Q
K,H3,Q
A,M3,Q
Q,A,S
H2,H2,Q
K,M2,M3
A,M2,H3
K,K,K
M1,M2,A
H2,Q,M3
K,M3,M2
A,M3,H2
Q,H3,H2
S,M1,H3
Q,M3,H3
K,M2,M2
Q,M1,K
H3,K,K
M3,H1,A
Q,A,H3
M1,A,H2
M2,S,M1
A,Q,M3
H2,K,H2
M3,Q,H1
M1,M2,H1
H2,A,H2
K,H1,A
Q,M2,Q
M1,M3,S
S,H1,K
A,A,H2
M3,A,K
