M1,M3,M3
M2,K,A
M2,M2,H1
M1,M2,H2
M1,H1,M2
M1,Q,M1
W,M1,A
H3,K,H2
S,H1,H1
M3,M1,H2
Q,M3,W
W,S,A
H1,A,W
M2,M1,K
M2,A,M1
A,A,H2
H2,M3,M1
A,M1,M3
M1,H3,H3
K,M2,S
W,Q,W
H2,W,K
H2,W,W
M3,M1,M2
Q,M1,W
S,W,K
M3,K,K
K,K,Q
H1,M2,A
W,M2,W
M1,A,Q
W,H1,A
W,M1,M3
W,K,A
W,K,S
H1,W,M1
K,A,W
A,H2,K
Q,M2,W
M2,Q,M2
W,M3,H1
K,M1,A
Q,W,A
K,H1,M1
W,H2,H1
K,M2,M2
W,W,Q
W,H1,H2
W,S,W
S,M1,M1
M2,W,K
H1,H2,M2
Q,K,W
H3,M2,M2
K,K,H1
M2,K,Q
H2,H2,A
H3,W,K
M1,A,S
A,H2,K
M3,M3,W
K,H1,H1
H3,W,M3
Q,Q,Q
W,W,M1
M3,W,W
M3,M3,H1
Q,Q,A
M3,M3,K
H2,W,M1
M3,W,M1
W,Q,M1
W,M3,W
M2,S,S
W,W,H3
M2,M2,M3
S,W,M1
M1,M2,M3
A,Q,M2
Q,A,K
H1,M1,W
H3,A,Q
W,W,W
Q,M2,M1
A,H1,M2
K,W,Q
H3,M2,H2
W,H1,K
M1,Q,W
Q,W,H2
K,K,W
W,M3,H2
M3,M1,A
K,M1,H1
M1,M2,W
W,M1,M2
A,K,H3
Q,K,H2
M2,W,M1
M3,A,H1
W,H3,H2
M1,H2,W
M2,S,M3
S,M3,A
W,H1,W
M1,M1,M3
K,M3,W
M3,M1,M1
M3,H1,M1
H3,K,M3
W,H2,H1
H1,A,H3
H1,H2,W
M2,Q,H1
W,M1,H3
M2,W,Q
M1,H1,M1
M1,A,Q
M1,Q,M1
M2,H2,H3
K,S,M1
W,H3,K
H1,K,M3
H2,M2,Q
A,A,S
W,H2,K
W,W,W
H1,M1,H3
M2,M3,A
K,Q,W
M2,Q,M2
Q,M3,Q
A,W,H3
M1,M2,M1
A,M2,W
W,W,M3
H2,Q,W
M1,H1,Q
S,M2,H1
M2,K,M3
H2,M3,H1
W,Q,M3
H2,H1,K
A,M1,W
M1,W,A
M1,K,W
A,H3,K
Q,W,W
H2,Q,M1
Q,M3,M2
S,H2,S
A,Q,Q
A,W,K
W,A,Q
M2,K,W
K,M3,M1
M3,H1,M3
Q,A,M3
M3,W,H1
M1,H1,M3
W,W,M2
M2,W,Q
Q,S,W
M1,M2,H1
H1,M1,W
M1,W,Q
H3,A,W
K,W,Q
M1,M2,M3
W,M1,A
W,H3,M2
A,K,K
H3,Q,W
Q,M1,Q
H2,W,W
W,Q,S
M2,H3,M2
M3,H3,W
W,W,M2
W,W,W
M2,M3,H2
W,M3,A
H1,A,K
H1,M2,W
H1,S,M2
H2,W,H3
M3,W,M2
H1,W,M1
W,W,M2
M3,M1,M3
Q,M2,Q
M1,H3,M2
H1,H3,M1
M3,M1,H2
S,S,Q
K,M1,M2
W,H2,M2
K,Q,W
Q,W,M1
A,W,W
